Model No.,Godwan,MT Stock,IB Stock,DDN Stock,DL Stock,CHD Stock,Main,Sample Line,Total
R48754253,0,1,0,0,0,0,0,0,1
R48784903,0,1,0,0,0,0,0,0,1
R48867714,0,1,0,0,0,0,0,0,1
R48869734,0,1,0,0,0,0,0,0,1
R48871714,0,1,0,0,0,0,0,0,1
R48873733,0,2,0,0,0,0,0,0,2
R48873734,0,1,0,0,0,0,0,0,1
R30035712,0,1,0,0,0,0,0,0,1
R30181104,0,1,0,0,0,0,0,0,1
R30183762,0,1,0,0,0,0,0,0,1
R30554022,0,1,0,0,0,0,0,0,1
R30554724,0,1,0,0,0,0,0,0,1
R30555732,0,2,0,0,0,0,0,0,2
R30928153,0,1,0,0,0,0,0,0,1
R30928713,0,0,0,0,0,0,0,0,0
R32040102,0,1,0,0,0,0,0,0,1
R32105153,0,1,0,0,0,0,0,0,1
R12064253,0,0,0,0,0,0,0,0,0
R12999253,0,0,0,0,0,0,0,0,0
R27045162,0,0,0,0,0,0,0,0,0
R27046172,0,0,0,0,0,0,0,0,0
R27062152,0,0,0,0,0,0,0,0,0
R27077202,0,0,0,0,0,0,0,0,0
R27088122,0,0,0,0,0,0,0,0,0
R30122122,0,0,0,0,0,0,0,0,0
R30179114,0,0,0,0,0,0,0,0,0
R30183742,0,0,0,0,0,0,0,0,0
R30935172,0,0,0,0,0,0,0,0,0
R30941702,0,0,0,0,0,0,0,0,0
R30941752,0,0,0,0,0,0,0,0,0
R32130318,0,0,0,0,0,0,0,0,0
R30554103,0,1,0,1,0,0,0,0,2
R30555103,0,0,0,1,0,0,0,0,1
R22882923,0,0,0,0,0,0,0,0,0
R22897913,0,0,0,0,0,0,0,0,0
R27118902,0,0,0,0,0,0,0,0,0
R30183712,0,0,0,0,0,0,0,0,0
R32501206,0,0,0,0,0,0,0,0,0
R48867713,0,0,0,0,0,0,0,0,0
R32259213,0,0,0,0,0,0,0,0,0
R32259113,0,0,0,0,0,0,0,0,0
R32525202,0,0,0,0,0,0,0,0,0
R32185153,0,0,0,0,0,0,0,0,0
R14066182,0,0,0,0,0,0,0,0,0
R22860722,0,0,0,0,0,0,0,0,0
R30935752,0,0,0,0,0,0,0,0,0
R30038712,0,1,0,1,0,0,0,0,2
R30039712,0,1,0,1,0,0,0,0,2
R32192152,0,1,0,0,0,0,0,0,1
R12063103,0,0,0,0,0,0,0,0,0
R12413703,0,0,0,0,0,0,0,0,0
R22878015,0,0,0,0,0,0,0,0,0
R22878313,0,0,0,0,0,0,0,0,0
R27009192,0,0,0,0,0,0,0,0,0
R27113172,0,0,0,0,0,0,0,0,0
R30010312,0,0,0,0,0,0,0,0,0
R30555172,0,0,0,0,0,0,0,0,0
R32500203,0,0,0,0,0,0,0,0,0
R48889743,0,0,0,0,0,0,0,0,0
R27741712,0,0,0,0,0,0,0,0,0
R30183732,0,0,0,0,0,0,0,0,0
R32254312,0,0,0,0,0,0,0,0,0
R32500328,0,0,0,0,0,0,0,0,0
R12413583,0,0,0,0,0,0,0,0,0
R48893743,0,0,0,0,0,0,0,0,0
JC1L228M0075,0,0,0,0,0,0,0,0,0
JC1L168M0055,0,0,0,0,0,0,0,0,0
JC1L163M0215,0,0,0,0,0,0,0,0,0
JC1L189M0075,0,0,0,0,1,0,0,1,2
JC1L248M0025,0,0,0,1,1,0,0,0,2
JC1L230M0045,0,1,0,1,2,2,34,1,41
JC1L228M0055,0,0,0,1,0,0,0,0,1
JC1L226M0035,0,0,0,0,1,0,7,0,8
JC1L248M0085,0,0,1,1,1,0,1,1,5
JC1L209M0045,0,0,0,1,0,2,0,0,3
JC1L224M0025,0,0,0,0,0,0,0,0,0
JC1L168M0035,0,0,0,0,0,0,0,0,0
JC1L226M0055,0,0,0,0,0,0,6,0,6
JC1L223M0025,0,0,0,0,0,0,0,0,0
JC1L230M0035,0,0,0,0,0,0,0,0,0
JC1L226M0045,0,0,0,0,0,0,6,0,6
JC1L230M0075,0,0,0,1,1,2,31,1,36
JC1L209M0055,0,0,0,0,1,2,0,1,4
JC1L163M0225,0,0,0,0,0,0,0,0,0
JC1L228M0085,0,0,0,0,0,0,0,0,0
JC1L225M0015,0,0,0,0,0,0,0,0,0
JC1L189M0015,0,0,0,0,0,0,0,0,0
JC1L209M0075,0,0,0,0,0,2,0,0,2
JC1L222M0055,0,0,0,0,0,0,0,0,0
JC1L113M0025,0,0,0,0,0,0,3,0,3
JC1L186M0055,0,0,0,0,0,0,0,0,0
JC1L227M0065,0,0,0,0,0,0,6,0,6
JC1L247M0045,0,0,0,0,0,0,5,0,5
JC1L247M0035,0,0,0,0,0,0,6,0,6
JC1L264M0035,0,0,0,0,0,0,0,1,1
JC1L225M0085,0,1,0,0,0,0,3,0,4
JC1L226M0065,0,0,0,0,0,0,6,0,6
JC1L251M0025,0,0,0,0,0,0,0,0,0
JC1L163M0245,0,0,0,0,0,0,0,0,0
JC1L186M0025,0,0,0,0,0,0,0,0,0
JC1L248M0035,0,1,0,1,2,2,5,1,12
JC1L271M0035,0,0,0,0,0,0,0,0,0
